6041,21572,4
3984,21861,2
3959,21554,2
3882,21569,2
3740,22216,2
3552,21546,2
3315,21182,1
3305,21202,2
3235,22257,2
3119,21559,2
2989,22260,2
2919,21190,1
2914,22538,2
2910,4299,2
2679,22535,1
2602,21560,1
2522,21867,2
2435,14924,2
2348,4449,1
2221,14917,1
2142,22615,1
2056,21184,2
1997,14920,1
1988,21538,1
1778,21194,1
1670,22616,1
1597,4446,1
1577,14310,1
1564,22248,2
1539,14926,1
1528,22212,1
1523,14309,1
1522,22620,1
1412,21192,1
1370,22618,1
1345,21849,1
1300,4301,2
1278,14913,1
1206,21853,1
1160,21186,1
1146,4300,1
1071,14311,1
973,21869,1
872,22254,2
771,22268,1
739,14914,1
716,4450,1
691,14912,1
660,4452,1
652,4451,1
642,22528,1
574,4460,2
558,16197,1
509,4454,1
336,4447,1
294,22532,1
273,22250,1
266,22243,1
225,4448,1
137,15610,4
50,4453,1
48,4459,1
35,4458,1
21,26615,2
15,10417,1
13,2733,6
10,10408,1
9,4456,1
8,26609,1
6,10412,1
5,10505,1
4,16174,1
4,16174,6
3,21273,4
3,4455,2
3,4457,2
3,9012,2
2,21642,3
1,16181,1
1,16181,2
1,16181,6
1,26633,2
1,26633,4
1,26633,6
1,4094,6
1,9460,6
