5339,21572,4
3285,21554,2
3211,21182,1
3010,21569,2
3004,21190,1
2963,21861,2
2959,21546,2
2938,22216,4
2765,21202,2
2716,22535,1
2442,21560,1
2366,21559,2
2346,22260,2
2318,22538,2
2300,22257,2
2202,4299,2
2103,22615,1
2085,14917,1
2054,4449,1
2001,21867,2
1961,21538,1
1902,14924,2
1875,14310,1
1756,14920,1
1704,21184,1
1616,4446,1
1599,21194,1
1526,22616,1
1488,22620,1
1448,22618,1
1416,22248,1
1401,14309,1
1378,14926,1
1355,22212,1
1339,21849,1
1187,14913,1
1177,21192,1
1140,4301,1
1075,21853,1
1036,21186,1
1010,4300,1
948,21869,1
918,14311,1
851,22254,1
713,22268,1
694,4450,1
632,22528,1
627,14914,1
600,14912,1
596,4451,1
596,4452,1
561,16197,1
536,4454,1
452,4460,2
307,22243,1
294,4447,1
288,22250,1
238,22532,1
237,4448,1
122,15610,4
47,4459,1
34,4453,1
31,4458,1
23,26615,1
14,2733,1
8,10408,1
8,26609,1
7,10417,1
6,4456,2
6,4456,3
5,10412,2
5,10505,6
3,16174,1
3,26633,3
3,4457,2
2,16181,6
2,21273,2
2,4455,1
2,9012,3
2,9460,6
1,21642,4
1,21642,6
1,26912,1
1,26912,6
