6280,22216,4
6011,21861,2
5587,22257,2
5449,21554,2
5371,21569,2
5201,21572,4
5142,4299,4
5117,21190,1
5034,21559,2
4935,21546,2
4815,22260,2
4751,21202,2
4437,21182,1
4341,22535,1
4105,14924,2
4028,21867,2
3883,22538,2
3874,4449,1
3850,21560,1
3367,22615,1
3036,14920,1
3030,21538,1
3026,21184,1
2591,22616,1
2583,14926,1
2522,14917,1
2475,21194,1
2411,22248,1
2344,21186,1
2303,22212,1
2163,22620,1
2102,22618,1
2100,4446,1
2097,4301,2
2090,14913,1
2037,21192,1
1966,21849,1
1942,21853,1
1750,22254,1
1697,14310,1
1626,14309,1
1521,4300,1
1366,21869,1
1287,4451,1
1232,22268,1
1116,14914,1
1060,22528,1
1024,4450,1
927,14311,1
847,4454,1
815,16197,6
792,14912,1
714,4460,2
697,4452,1
491,22532,1
487,22243,1
486,4447,1
483,4448,1
305,22250,1
112,4453,1
88,15610,4
63,4459,1
43,26615,1
40,4458,1
16,4456,3
13,10408,1
12,2733,1
11,10417,1
11,26609,2
10,10412,2
8,9012,3
7,21273,2
7,21273,3
6,4457,3
5,16174,3
5,26633,2
5,26633,6
3,10505,1
2,16181,1
2,16181,6
2,21642,2
2,21642,3
1,26912,3
1,26912,6
1,4455,1
1,9460,3
1,9460,6
