5179,21572,4
4267,21182,1
4216,21569,2
4186,21554,2
4118,21861,2
4018,22216,2
3776,21546,2
3737,21190,1
3655,22257,2
3602,21202,2
3325,21559,2
3306,22260,2
3238,4299,2
3190,22535,1
3145,22538,2
2998,4449,1
2982,21560,1
2713,14924,2
2690,21867,2
2632,14917,1
2505,14309,1
2498,22615,1
2487,14920,1
2366,21538,1
2201,21184,1
2098,4446,1
2063,21194,1
2053,22616,1
2006,14926,1
1846,14913,1
1844,22212,1
1776,22248,1
1748,21192,1
1691,21186,1
1672,22620,1
1671,14310,1
1572,21853,1
1546,21849,1
1546,22618,1
1444,4301,2
1201,4300,1
1155,14311,1
1146,21869,1
947,22268,1
942,22254,1
898,14914,1
860,4451,1
823,22528,1
788,4450,1
761,14912,1
754,4452,1
704,16197,1
677,4460,2
541,4454,1
415,4447,1
358,22243,1
334,22532,1
333,22250,1
314,4448,1
146,15610,4
43,4459,1
40,4453,1
36,4458,1
29,26615,1
16,10417,1
14,2733,1
13,26609,1
12,4456,2
7,10408,1
7,10408,3
7,10408,6
7,10505,1
5,10412,2
4,16181,1
3,16174,1
3,4457,1
3,4457,3
3,4457,6
2,26633,1
1,21273,2
1,21273,4
1,21642,6
1,4455,1
1,4455,2
1,4455,6
1,9012,1
1,9012,3
1,9012,6
1,9460,1
